-- Non-Teaching Staff Data Insert Script
-- Generated: 2025-12-25 20:30:56
-- Total Records: 80

-- ============================================
-- Data Summary:
-- Total Staff: 80
-- Departments: 10
-- Staff per department: 8

-- Staff Roles:
--   1. Admin Officer
--   2. Librarian
--   3. Lab Technician
--   4. IT Support
--   5. Counselor
--   6. Accountant
--   7. Receptionist
--   8. Security Officer
--   9. Maintenance Staff
--   10. Office Manager
--   11. Database Administrator
--   12. Network Administrator
--   13. Human Resources
--   14. Registrar
--   15. Clerk
-- ============================================

INSERT INTO Staff (StaffID, Name, Role, DeptID) VALUES (1001, 'Barbara Jones', 'IT Support', 1);
INSERT INTO Staff (StaffID, Name, Role, DeptID) VALUES (1002, 'David Sanchez', 'Security Officer', 1);
INSERT INTO Staff (StaffID, Name, Role, DeptID) VALUES (1003, 'Robert King', 'Admin Officer', 1);
INSERT INTO Staff (StaffID, Name, Role, DeptID) VALUES (1004, 'Anthony Young', 'Human Resources', 1);
INSERT INTO Staff (StaffID, Name, Role, DeptID) VALUES (1005, 'Elizabeth Perez', 'Office Manager', 1);
INSERT INTO Staff (StaffID, Name, Role, DeptID) VALUES (1006, 'Brian Scott', 'Database Administrator', 1);
INSERT INTO Staff (StaffID, Name, Role, DeptID) VALUES (1007, 'Thomas Allen', 'Counselor', 1);
INSERT INTO Staff (StaffID, Name, Role, DeptID) VALUES (1008, 'Betty Wilson', 'Librarian', 1);
INSERT INTO Staff (StaffID, Name, Role, DeptID) VALUES (1009, 'David Jones', 'Database Administrator', 2);
INSERT INTO Staff (StaffID, Name, Role, DeptID) VALUES (1010, 'Betty Sanchez', 'Human Resources', 2);
INSERT INTO Staff (StaffID, Name, Role, DeptID) VALUES (1011, 'Ronald White', 'Human Resources', 2);
INSERT INTO Staff (StaffID, Name, Role, DeptID) VALUES (1012, 'Ashley Lewis', 'Receptionist', 2);
INSERT INTO Staff (StaffID, Name, Role, DeptID) VALUES (1013, 'Matthew Moore', 'Office Manager', 2);
INSERT INTO Staff (StaffID, Name, Role, DeptID) VALUES (1014, 'Anthony Jones', 'Office Manager', 2);
INSERT INTO Staff (StaffID, Name, Role, DeptID) VALUES (1015, 'Sarah Garcia', 'Network Administrator', 2);
INSERT INTO Staff (StaffID, Name, Role, DeptID) VALUES (1016, 'Carol Sanchez', 'Accountant', 2);
INSERT INTO Staff (StaffID, Name, Role, DeptID) VALUES (1017, 'Lisa Walker', 'Security Officer', 3);
